learner_id,signup_date,state,age,exam_category,tier,monthly_spend_inr,months_subscribed,spend_to_date_inr,days_to_renewal,lessons_total,lessons_last_30d,mock_tests_total,mock_tests_last_30d,doubt_sessions,live_classes,days_active,days_since_last_login,avg_session_min,total_time_hrs,streak_days,login_freq_per_week,notes_saved,videos_rewatched,funnel_stage,churned,churn_risk_score,ltv_inr,cluster,segment,pca1,pca2,churn_probability,action_priority,action_label,action_reason,action_type,action_rev_upside
UA200027,2024-10-24,TN,22,Banking,Free,0,0,0,,1,0,4,0,5,7,26,3,40.6,0.7,4,0,12,2,Signed Up,0,0,0.0,2,🧠 Serious Aspirants,0.0251959239309554,-0.1875742344981308,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200028,2025-08-01,Karnataka,23,UPSC,Free,0,0,0,,1,0,4,0,7,5,23,9,43.5,0.7,1,1,14,2,Signed Up,0,0,0.0,2,🧠 Serious Aspirants,0.1623747871243204,0.1648783299590595,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200029,2025-03-13,Bihar,22,CAT,Plus,1562,18,28116,180.0,2,6,8,3,5,6,24,29,26.8,0.9,6,2,15,1,Subscribed,0,30,9372.0,1,🚀 High Intent,0.6690779618511773,-0.2504938413900265,0.509,🟠 HIGH RISK,Send re-engagement push notification,Drop in session activity — remind them of progress made,churn_prevention,1093.3999999999999
UA200030,2025-12-12,WB,17,JEE,Free,0,0,0,,1,0,9,0,1,7,27,22,30.1,0.5,5,3,8,1,First Lesson,0,0,0.0,0,⚠️ At-Risk,-0.2777553537913043,0.644000639860177,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200031,2025-03-21,Gujarat,17,JEE,Plus,1562,8,12496,-109.0,1,5,10,1,3,10,19,14,37.4,0.6,5,3,15,4,Subscribed,0,11,12496.0,2,🧠 Serious Aspirants,1.0955590332910718,0.6642155897463705,0.452,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,468.59999999999997
UA200032,2024-08-19,UP,19,NEET,Plus,1562,19,29678,26.0,2,12,9,1,4,9,36,13,36.6,1.2,2,2,16,1,Subscribed,0,16,29678.0,1,🚀 High Intent,1.4708591962118476,-1.1142266522767,0.397,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,468.59999999999997
UA200033,2024-10-26,Maharashtra,24,Banking,Free,0,0,0,,1,0,5,0,2,7,17,0,32.8,0.5,4,2,8,0,First Lesson,0,0,0.0,3,😴 Casual Browsers,-1.7074516242311482,-0.5878096556455937,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200034,2025-02-25,UP,19,SSC,Free,0,0,0,,1,0,2,0,4,6,15,20,29.3,0.5,0,0,5,1,Subscription Page Visited,0,0,0.0,3,😴 Casual Browsers,-3.108837317575519,0.528500131129619,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200035,2025-03-12,Gujarat,23,JEE,Free,0,0,0,,1,0,4,0,4,11,30,31,37.8,0.6,4,2,16,1,First Lesson,0,0,0.0,0,⚠️ At-Risk,0.5772469875512513,1.1520749676209765,0.0,😴 DORMANT,Win-back email with exam date urgency,Long inactive — exam deadline urgency is the trigger,reactivation,0.0
UA200036,2024-11-20,UP,17,UPSC,Plus,1562,6,9372,-290.0,1,8,4,5,2,7,32,0,48.6,0.8,9,2,11,3,Subscribed,0,5,9372.0,2,🧠 Serious Aspirants,1.4253619184981543,-0.2620382271814466,0.234,✅ HEALTHY,Nurture with content recommendations,"Engaged, low risk — keep them happy",nurture,0.0
UA200037,2024-11-26,TN,27,Banking,Free,0,0,0,,1,0,3,0,1,8,20,28,37.4,0.6,3,3,5,1,First Lesson,0,0,0.0,3,😴 Casual Browsers,-1.8367504284416687,0.9150906010850725,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200038,2024-08-18,AP,20,JEE,Free,0,0,0,,1,0,5,0,5,5,30,14,33.6,0.6,4,1,15,2,Mock Test Taken,0,0,0.0,2,🧠 Serious Aspirants,0.5815476629507337,0.4080891059049584,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200039,2024-10-18,AP,28,JEE,Plus,1562,13,20306,-73.0,1,8,3,3,6,9,25,0,43.5,0.7,5,2,12,2,Subscribed,1,26,13199.0,2,🧠 Serious Aspirants,0.5346746751416978,-0.3069044820416672,0.553,🟠 HIGH RISK,Send re-engagement push notification,Drop in session activity — remind them of progress made,churn_prevention,1093.3999999999999
UA200040,2026-02-20,Bihar,18,UPSC,Free,0,0,0,,1,0,6,0,2,9,29,3,51.4,0.9,5,3,10,3,Signed Up,0,0,0.0,2,🧠 Serious Aspirants,1.0814997839862774,-0.1057969014350189,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200041,2024-04-16,Rajasthan,17,CAT,Free,0,0,0,,1,0,7,0,3,6,19,29,25.4,0.4,5,5,5,3,First Lesson,0,0,0.0,0,⚠️ At-Risk,-0.7114208186496839,1.2825997881353504,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200042,2024-07-09,Bihar,22,NEET,Free,0,0,0,,2,0,8,0,2,6,29,0,26.5,0.9,5,4,9,3,3+ Lessons,0,0,0.0,1,🚀 High Intent,0.4232462839954672,-1.5602490206260535,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200043,2024-09-26,Maharashtra,20,Banking,Free,0,0,0,,1,0,2,0,4,8,16,16,21.3,0.4,2,4,12,1,First Lesson,0,0,0.0,3,😴 Casual Browsers,-1.8197673122427107,0.4273000780437783,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200044,2025-12-02,UP,21,NEET,Free,0,0,0,,2,0,6,0,3,4,26,4,23.1,0.8,5,2,18,0,First Lesson,0,0,0.0,1,🚀 High Intent,0.0731686337613391,-1.654089901502286,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200045,2025-01-05,Gujarat,23,NEET,Plus,1562,19,29678,144.0,2,8,6,0,3,10,25,14,45.3,1.5,5,1,10,1,Subscribed,0,22,18744.0,1,🚀 High Intent,0.204553758750251,-1.12024209218932,0.615,🟠 HIGH RISK,Send re-engagement push notification,Drop in session activity — remind them of progress made,churn_prevention,1093.3999999999999
UA200046,2024-05-29,UP,20,JEE,Plus,1562,19,29678,-56.0,1,11,6,1,6,11,30,1,50.9,0.8,3,1,12,0,Subscribed,0,15,24992.0,2,🧠 Serious Aspirants,0.8700094253629302,-0.5178282026094396,0.301,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,468.59999999999997
UA200047,2025-07-28,UP,23,NEET,Free,0,0,0,,1,0,2,0,6,12,28,16,34.3,0.6,3,3,18,1,First Lesson,0,0,0.0,2,🧠 Serious Aspirants,0.5122562893418134,0.4419231332980323,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200048,2024-04-06,Bihar,23,NEET,Free,0,0,0,,1,0,5,0,3,3,31,1,40.5,0.7,9,5,11,1,Mock Test Taken,0,0,0.0,2,🧠 Serious Aspirants,1.3956872261348594,-0.3809963056744342,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200049,2024-07-26,UP,20,JEE,Free,0,0,0,,1,0,6,0,6,9,33,22,31.1,0.5,6,3,18,1,First Lesson,0,0,0.0,2,🧠 Serious Aspirants,1.688242674461019,0.7580401242667191,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200050,2025-10-10,Rajasthan,24,NEET,Free,0,0,0,,1,0,7,0,5,9,39,0,31.7,0.5,9,2,7,0,Mock Test Taken,0,0,0.0,2,🧠 Serious Aspirants,1.1341211917409657,-0.5765266638566391,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200051,2025-04-19,UP,23,JEE,Free,0,0,0,,1,0,3,0,2,11,30,30,39.7,0.7,4,2,15,4,3+ Lessons,0,0,0.0,0,⚠️ At-Risk,0.6090286833224281,1.4127430581344749,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200052,2025-04-22,Bihar,22,NEET,Free,0,0,0,,1,0,1,0,1,4,22,6,30.7,0.5,7,2,22,2,3+ Lessons,0,0,0.0,2,🧠 Serious Aspirants,0.0278843695002732,0.0152083283464403,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200053,2024-08-05,TN,20,UPSC,Plus,1562,10,15620,-256.0,2,5,4,2,5,9,38,15,45.5,1.5,5,1,16,3,Subscribed,0,5,15620.0,1,🚀 High Intent,2.0929744684632388,-0.798860747960076,0.46,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,468.59999999999997
UA200054,2025-07-29,Maharashtra,20,JEE,Free,0,0,0,,1,0,4,0,6,4,32,0,28.1,0.5,4,1,16,1,3+ Lessons,0,0,0.0,2,🧠 Serious Aspirants,0.430942239392882,-0.3994024507014564,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200055,2025-11-20,Karnataka,17,JEE,Free,0,0,0,,3,0,6,0,4,11,21,13,51.3,2.6,4,4,13,0,First Lesson,0,0,0.0,1,🚀 High Intent,0.9186187416314672,-2.5737143636511868,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200056,2025-10-12,UP,17,UPSC,Free,0,0,0,,3,0,11,0,3,14,35,3,49.9,2.5,5,4,14,2,Subscription Page Visited,0,0,0.0,1,🚀 High Intent,2.9309848938653658,-2.866564335082757,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200057,2025-09-23,Maharashtra,20,Banking,Free,0,0,0,,2,0,4,0,2,4,25,42,23.2,0.8,5,0,13,0,3+ Lessons,0,0,0.0,0,⚠️ At-Risk,-1.198164430640909,0.210651142858951,0.0,😴 DORMANT,Win-back email with exam date urgency,Long inactive — exam deadline urgency is the trigger,reactivation,0.0
UA200058,2026-01-11,Karnataka,24,SSC,Free,0,0,0,,1,0,6,0,1,2,16,5,19.1,0.3,1,2,12,4,Signed Up,0,0,0.0,3,😴 Casual Browsers,-1.7896613630811056,0.1642663600515653,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200059,2025-02-25,MP,17,NEET,Free,0,0,0,,2,0,5,0,6,13,27,9,31.4,1.0,5,4,17,3,Mock Test Taken,0,0,0.0,1,🚀 High Intent,1.5039228107193452,-1.0074316642350998,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200060,2025-09-09,TN,20,NEET,Free,0,0,0,,1,0,4,0,4,6,27,13,27.8,0.5,3,1,16,2,3+ Lessons,0,0,0.0,2,🧠 Serious Aspirants,-0.2159783389115324,0.3594119431536567,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200061,2025-03-19,MP,17,SSC,Free,0,0,0,,1,0,2,0,1,3,30,7,36.6,0.6,4,2,8,0,Subscription Page Visited,0,0,0.0,3,😴 Casual Browsers,-1.1628906483750734,-0.2810935379062068,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200062,2025-11-04,Rajasthan,17,NEET,Iconic,2396,2,4792,-24.0,2,9,8,1,4,6,26,2,45.0,1.5,3,2,12,3,Subscribed,0,9,4792.0,1,🚀 High Intent,1.0595183725095,-1.460516863463985,0.362,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,718.8
UA200063,2024-11-08,Bihar,19,JEE,Iconic,2396,8,19168,-245.0,1,6,9,4,3,11,31,8,32.3,0.5,4,3,13,2,Subscribed,1,27,12459.0,2,🧠 Serious Aspirants,0.9212396784949036,0.094343290118915,0.403,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,718.8
UA200064,2025-01-10,Bihar,21,JEE,Iconic,2396,3,7188,-297.0,1,8,11,3,3,11,20,2,38.9,0.6,1,3,10,0,Subscribed,0,5,7188.0,3,😴 Casual Browsers,-0.349080652203312,-0.4546383096753615,0.353,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,718.8
UA200065,2024-09-19,Maharashtra,26,NEET,Free,0,0,0,,1,0,3,0,4,4,26,13,43.4,0.7,2,5,15,4,Mock Test Taken,0,0,0.0,2,🧠 Serious Aspirants,0.9402273457302324,0.6064980064787583,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200066,2025-08-24,Maharashtra,20,UPSC,Free,0,0,0,,2,0,7,0,3,6,33,0,47.1,1.6,8,5,17,4,First Lesson,0,0,0.0,1,🚀 High Intent,3.183102128924909,-1.4031020145461923,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200067,2025-03-06,TN,25,NEET,Free,0,0,0,,1,0,5,0,5,8,28,15,30.8,0.5,4,1,15,1,Signed Up,0,0,0.0,2,🧠 Serious Aspirants,0.1544530867538177,0.3499072913302244,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200068,2024-12-03,Bihar,19,SSC,Plus,1562,18,28116,109.0,1,8,8,5,0,7,12,11,34.7,0.6,2,6,4,2,Subscribed,0,20,14058.0,3,😴 Casual Browsers,-1.6535242326050366,0.2080758402922175,0.508,🟠 HIGH RISK,Send re-engagement push notification,Drop in session activity — remind them of progress made,churn_prevention,1093.3999999999999
UA200069,2024-04-07,Karnataka,19,UPSC,Plus,1562,14,21868,-290.0,2,8,8,4,5,14,28,0,54.4,1.8,6,5,11,3,Subscribed,0,5,21868.0,1,🚀 High Intent,2.537582483510239,-1.5329030928876732,0.276,✅ HEALTHY,Nurture with content recommendations,"Engaged, low risk — keep them happy",nurture,0.0
UA200070,2024-05-25,UP,19,JEE,Iconic,2396,4,9584,-500.0,1,6,2,3,6,6,23,27,34.7,0.6,2,3,11,1,Subscribed,0,25,9584.0,0,⚠️ At-Risk,-0.6696314345790653,0.9651220260872656,0.509,🟠 HIGH RISK,Send re-engagement push notification,Drop in session activity — remind them of progress made,churn_prevention,1677.1999999999998
UA200071,2025-04-12,TN,18,CAT,Free,0,0,0,,2,0,6,0,4,6,25,14,38.4,1.3,4,2,12,1,Mock Test Taken,0,0,0.0,1,🚀 High Intent,0.2511996943844474,-1.074266746925309,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200072,2025-01-30,Gujarat,17,SSC,Free,0,0,0,,1,0,2,0,2,4,14,13,27.4,0.5,2,2,5,0,Subscription Page Visited,0,0,0.0,3,😴 Casual Browsers,-3.146944202497603,0.0583894651311876,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200073,2025-07-22,TN,22,NEET,Free,0,0,0,,1,0,5,0,2,5,27,25,26.3,0.4,1,3,12,0,Signed Up,0,0,0.0,3,😴 Casual Browsers,-1.1597484857128637,0.7076315873641302,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200074,2025-09-02,Maharashtra,19,UPSC,Free,0,0,0,,1,0,7,0,4,12,34,8,40.2,0.7,5,2,21,0,Mock Test Taken,0,0,0.0,2,🧠 Serious Aspirants,1.850134580627216,-0.1070122356746703,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200075,2024-04-05,Karnataka,20,SSC,Free,0,0,0,,1,0,6,0,0,7,20,2,25.1,0.4,2,3,9,0,First Lesson,0,0,0.0,3,😴 Casual Browsers,-2.040647882332708,-0.4914682603129982,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200076,2025-06-17,Gujarat,21,CAT,Free,0,0,0,,2,0,1,0,3,4,25,10,32.6,1.1,1,1,12,5,Signed Up,0,0,0.0,1,🚀 High Intent,-0.7605947079751334,-0.8440550596232909,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200077,2024-10-04,MP,20,UPSC,Iconic,2396,5,11980,-343.0,1,9,9,2,2,12,29,14,43.1,0.7,5,5,16,2,Subscribed,0,5,11980.0,2,🧠 Serious Aspirants,1.8515096824270136,0.416663364764392,0.277,✅ HEALTHY,Nurture with content recommendations,"Engaged, low risk — keep them happy",nurture,0.0
UA200078,2024-12-14,Bihar,21,JEE,Plus,1562,17,26554,76.0,1,10,7,1,8,12,28,0,23.5,0.4,1,3,12,4,Subscribed,1,38,15230.0,2,🧠 Serious Aspirants,0.5848576203693102,-0.0080377615048193,0.333,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,468.59999999999997
UA200079,2025-10-21,TN,23,NEET,Free,0,0,0,,1,0,3,0,3,5,25,12,34.2,0.6,0,4,16,0,Signed Up,0,0,0.0,3,😴 Casual Browsers,-0.66304931820141,0.0809554130287302,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200080,2024-09-24,Bihar,20,CAT,Iconic,2396,18,43128,24.0,1,9,7,1,3,5,22,22,34.0,0.6,2,0,9,2,Subscribed,0,30,26356.0,3,😴 Casual Browsers,-1.0342038467091734,0.7539026118060553,0.664,🟠 HIGH RISK,Send re-engagement push notification,Drop in session activity — remind them of progress made,churn_prevention,1677.1999999999998
